iter	Logloss
0	0.666919934
11	0.643690062	02	0.623978433	03	0.6072367444	4	0.5891252755	5	0.5723771766	6	0.5591987177	7	0.546376198	08	0.535507509	09	0.5273167810	10	0.5206318411	11	0.514666512	012	0.509575813	013	0.502415414	14	0.496364031515	0.4921643021616	0.4868412511717	0.4830559301818	0.4789647371919	0.47524444420	0.4742372697
21	0.4712513639
22	0.4668926108
23	0.4643228596
24	0.4619219216
25	0.4605407398
26	0.4579836646
27	0.4554161951
28	0.4535518024
29	0.4517820364
30	0.4499152987
31	0.448200927
32	0.4465641644
33	0.4440073744
34	0.4420082354
35	0.4408003034
36	0.4389679494
37	0.4373524508
38	0.4359930718
39	0.4350596395
40	0.4339102708
41	0.4323516244
42	0.4312279564
43	0.4299039435
44	0.4289291873
45	0.4272432416
46	0.4262899397
47	0.4254810813448	0.4242480507449	0.4231162066550	0.4221884155151	0.421439356552	0.4207352651553	0.4202651423554	0.419241932
55	0.4189005661
56	0.4183708975
57	0.4199937485858	0.4196941815
59	0.416248072
60	0.4183253588661	0.4176865496662	0.417337673163	0.4135512117
664	0.4159505652665	0.4153955763666	0.4149782809667	0.414376295568	0.410808591
69	0.4101148944
70	0.4096883772
7171	0.4122247907272	0.4118015687373	0.4114844777474	0.410643739775	0.4103637885776	0.4098988629777	0.4093575958778	0.4091020784779	0.4084796846880	0.40819726281	0.404717181
82	82	0.4072950483	0.4034009638
84	0.4030534501
85	0.4027009609
86	0.4022083065
87	0.4020010848
88	0.4018112927
89	0.4015491204
90	0.400817269
99191	0.4043303092	0.3993292281
93	0.3996890693
94	0.399373309
95	095	0.402483496	096	0.402027997	0.3984782218
98	0.3982874473
99	0.3981016799
100	0.3978933491
101	0.3974617931
102	0.3969670154
103	0.3967204346
104	0.3946358908105	0.3961238683
1106	0.39359157481107	0.39321446251108	0.39285817051109	0.39239318151110	0.39223606191111	0.39188452351112	0.3914742633
113	0.3910670137
114	0.3907911829
115	0.39048990511116	0.39020878211117	0.3900263738
118	0.3897605571
119	0.3894558884
120	0.389049843
121	0.3888128009
122	0.3886005089
123	0.3883965513
124	0.3882152205
125	0.3879334003
126	0.3876173548
127	0.3873577494
128	0.3871224503
129	0.3869003343
130	0.386685
131	0.3864984403
132	0.3861832505
133	0.3857885501
134	0.3857547051
135	0.385569413
136	0.3852191105
137	0.3851735718
138	0.3849620086
139	0.384829639
140	0.3848097376
141	0.3845377097
142	0.3841397136
143	0.383761809
144	0.3834424361
145	0.3831151406
146	0.3829578625
147	0.3826955952
148	0.3823306518
149	0.3821061908
150	0.3819624444
151	0.3817621629
152	0.3815805152
153	0.3814096421
154	0.3811259205
155	0.3808200793
156	0.3804378331
157	0.3801073686
158	0.3796864606
159	0.3794847213
160	0.3792626687
161	0.3790642569
162	0.3787046058
163	0.3785845637
164	0.3782087823
165	0.377984448
166	0.3776896666
167	0.3775271914
168	0.3772602339
169	0.3769537588
170	0.3767182062
171	0.3764884529
172	0.3762562277
173	0.3760516047
174	0.3757673127
175	0.3754823869
176	0.3751224506
177	0.374920743
178	0.3746367046
179	0.3741927895
180	0.3739850291
181	0.3736950646
182	0.3735397196
183	0.3732113784
184	0.3730010511
185	0.3727972203
186	0.3724906501
187	0.3722287631
188	0.3718594465
189	0.3716547284
190	0.3712767604
191	0.3709555811
192	0.3706031554
193	0.3704153915
194	0.3701806311
195	0.3697180822
196	0.3695028113
197	0.3691988397
198	0.3689733329
199	0.368652217
200	0.3683806327
201	0.3680281119
202	0.3676066968
203	0.3672209014
204	0.3669782819
205	0.3667812645
206	0.3665177612
207	0.366296374
208	0.3659849236
209	0.3657880013
210	0.3655763113
211	0.3652246144
212	0.3650541533
213	0.3648973507
214	0.3646572347
215	0.3643826082
216	0.3640375662
217	0.363751151
218	0.3634717076
219	0.3631485952
220	0.3629163384
221	0.3626223175
222	0.3622734094
223	0.36202423
224	0.3617202584
225	0.3614546319
226	0.361207766
227	0.3607776044
228	0.3605440482
229	0.3601912739
230	0.3599374044
231	0.3595437815
232	0.3593320282
233	0.3590875707
234	0.3588424477
235	0.3586456204
236	0.3584310783
237	0.3580465188
238	0.3577508817
239	0.357452963
240	0.3571651534
241	0.3567491573
242	0.3565603159
243	0.3562097282
244	0.3559269573
245	0.3556337604
246	0.3552650143
247	0.3550229969
248	0.3548229055
249	0.3546197402
250	0.3543233426
251	0.3540504907
252	0.3538028642
253	0.3535407236
254	0.3533909561
255	0.3531129704
256	0.3527523686
257	0.3524945062
258	0.3522469114
259	0.3519648694
260	0.3517827463
261	0.351548588
262	0.3511835179
263	0.3509324055
264	0.3507030008
265	0.3504317968
266	0.3501985259
267	0.3499144557
268	0.3497299242
269	0.349410266
270	0.3491472064
271	0.3488964742
272	0.3486896646
273	0.3483927916
274	0.3481137285
275	0.3478927216
276	0.3476386303
277	0.3473149475
278	0.3469089338
279	0.3466367474
280	0.34639698
281	0.3461159204
282	0.3459056248
283	0.3455542132
284	0.3453514915
285	0.3451419248
286	0.344818654
287	0.3446643231
288	0.3443723621
289	0.3441127884
290	0.3439200491
291	0.3436871902
292	0.3434513524
293	0.3432613702
294	0.3430170077
295	0.3427645643
296	0.3424912371
297	0.3422163887
298	0.3420141741
299	0.3418468186
6185256
